2022-09-16/20:32,09		Raw Data Validation Complete!!
2022-09-16/20:32,09		Creating Training_Database and tables on the basis of given schema!
2022-09-16/20:32,36		 Start of validation of files for training!!
2022-09-16/20:32,39		 Start of validation of files for training!!
2022-09-16/20:32,39		Raw Data Validation Complete!!
2022-09-16/20:32,39		Creating Training_Database and tables on the basis of given schema!
2022-09-16/20:32,53		Table creation Completed!!
2022-09-16/20:32,53		Insertion of Data into Table started!!!!
2022-09-16/20:37,49		Insertion in Table completed!!!
2022-09-16/20:37,49		Deleting Good Data Folder!!!
2022-09-16/20:37,49		Good_Data folder deleted!!!
2022-09-16/20:37,49		Moving bad files to Archive and deleting Bad_Data folder!!!
2022-09-16/20:37,49		Bad files moved to archive!! Bad folder Deleted!!
2022-09-16/20:37,49		Validation Operation completed!!
2022-09-16/20:37,49		Extracting csv file from table
2022-09-16/20:38,06		Extraction of table data to csv file is finished. 
2022-09-16/20:41,42		 Start of validation of files for training!!
2022-09-16/20:40,13		 Start of validation of files for training!!
2022-09-16/20:40,13		Raw Data Validation Complete!!
2022-09-16/20:40,13		Creating Training_Database and tables on the basis of given schema!
2022-09-16/20:41,43		 Start of validation of files for training!!
2022-09-16/20:41,44		Raw Data Validation Complete!!
2022-09-16/20:41,44		Creating Training_Database and tables on the basis of given schema!
2022-09-16/20:41,59		Table creation Completed!!
2022-09-16/20:41,59		Insertion of Data into Table started!!!!
2022-09-16/20:46,54		Insertion in Table completed!!!
2022-09-16/20:46,54		Deleting Good Data Folder!!!
2022-09-16/20:46,54		Good_Data folder deleted!!!
2022-09-16/20:46,54		Moving bad files to Archive and deleting Bad_Data folder!!!
2022-09-16/20:46,54		Bad files moved to archive!! Bad folder Deleted!!
2022-09-16/20:46,54		Validation Operation completed!!
2022-09-16/20:46,54		Extracting csv file from table
2022-09-16/20:47,10		Extraction of table data to csv file is finished. 
2022-09-16/20:50,32		 Start of validation of files for training!!
2022-09-16/20:50,32		Raw Data Validation Complete!!
2022-09-16/20:50,32		Creating Training_Database and tables on the basis of given schema!
2022-09-16/20:50,58		 Start of validation of files for training!!
2022-09-16/20:50,59		 Start of validation of files for training!!
2022-09-16/20:50,59		Raw Data Validation Complete!!
2022-09-16/20:50,59		Creating Training_Database and tables on the basis of given schema!
2022-09-16/20:51,13		Table creation Completed!!
2022-09-16/20:51,13		Insertion of Data into Table started!!!!
2022-09-16/20:55,52		Insertion in Table completed!!!
2022-09-16/20:55,52		Deleting Good Data Folder!!!
2022-09-16/20:55,52		Good_Data folder deleted!!!
2022-09-16/20:55,52		Moving bad files to Archive and deleting Bad_Data folder!!!
2022-09-16/20:55,52		Bad files moved to archive!! Bad folder Deleted!!
2022-09-16/20:55,52		Validation Operation completed!!
2022-09-16/20:55,52		Extracting csv file from table
2022-09-16/20:56,10		Extraction of table data to csv file is finished. 
2022-09-16/21:41,53		 Start of validation of files for training!!
2022-09-16/21:41,54		Raw Data Validation Complete!!
2022-09-16/21:41,54		Creating Training_Database and tables on the basis of given schema!
